	nbt_simu_cell_order
kidney_epithelial_cell	kidney_epithelial_cell
innate_lymphoid_cell	innate_lymphoid_cell
neutrophil	neutrophil
goblet_cell	goblet_cell
smooth_muscle_cell	smooth_muscle_cell
basal_cell	basal_cell
intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine	intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine
cell_of_skeletal_muscle	cell_of_skeletal_muscle
keratinocyte	keratinocyte
endothelial_cell	endothelial_cell
basophil	basophil
b_cell	b_cell
intestinal_tuft_cell	intestinal_tuft_cell
stromal_cell	stromal_cell
club_cell_of_prostate_epithelium__hillock_cell_of_prostate_epithelium__hillock_club_cell_of_prostate_epithelium	club_cell_of_prostate_epithelium__hillock_cell_of_prostate_epithelium__hillock_club_cell_of_prostate_epithelium
club_cell__type_i_pneumocyte	club_cell__type_i_pneumocyte
salivary_gland_cell	salivary_gland_cell
ionocyte__luminal_epithelial_cell_of_mammary_gland	ionocyte__luminal_epithelial_cell_of_mammary_gland
cardiac_muscle_cell	cardiac_muscle_cell
immature_enterocyte__intestinal_crypt_stem_cell__intestinal_crypt_stem_cell_of_small_intestine__transit_amplifying_cell_of_large_intestine	immature_enterocyte__intestinal_crypt_stem_cell__intestinal_crypt_stem_cell_of_small_intestine__transit_amplifying_cell_of_large_intestine
monocyte	monocyte
plasmablast	plasmablast
pulmonary_ionocyte	pulmonary_ionocyte
type_ii_pneumocyte	type_ii_pneumocyte
intrahepatic_cholangiocyte	intrahepatic_cholangiocyte
mucus_secreting_cell__secretory_cell__tracheal_goblet_cell	mucus_secreting_cell__secretory_cell__tracheal_goblet_cell
fibroblast__mesenchymal_stem_cell	fibroblast__mesenchymal_stem_cell
adventitial_cell	adventitial_cell
ciliated_cell__lung_ciliated_cell	ciliated_cell__lung_ciliated_cell
mesothelial_cell	mesothelial_cell
pancreatic_ductal_cell	pancreatic_ductal_cell
plasma_cell	plasma_cell
erythrocyte__erythroid_progenitor	erythrocyte__erythroid_progenitor
mature_conventional_dendritic_cell	mature_conventional_dendritic_cell
luminal_cell_of_prostate_epithelium	luminal_cell_of_prostate_epithelium
pancreatic_acinar_cell	pancreatic_acinar_cell
myeloid_progenitor	myeloid_progenitor
mast_cell	mast_cell
platelet	platelet
macrophage	macrophage
melanocyte	melanocyte
hematopoietic_stem_cell	hematopoietic_stem_cell
t_cell	t_cell
tendon_cell	tendon_cell
pancreatic_stellate_cell	pancreatic_stellate_cell
hepatocyte	hepatocyte
duodenum_glandular_cell	duodenum_glandular_cell
basal_cell_of_prostate_epithelium	basal_cell_of_prostate_epithelium
medullary_thymic_epithelial_cell	medullary_thymic_epithelial_cell
pericyte_cell	pericyte_cell
duct_epithelial_cell__serous_cell_of_epithelium_of_bronchus	duct_epithelial_cell__serous_cell_of_epithelium_of_bronchus
pancreatic_alpha_cell__pancreatic_beta_cell	pancreatic_alpha_cell__pancreatic_beta_cell
intestinal_enterocyte	intestinal_enterocyte
ciliated_epithelial_cell__epithelial_cell_of_uterus	ciliated_epithelial_cell__epithelial_cell_of_uterus
respiratory_goblet_cell__respiratory_mucous_cell__serous_cell_of_epithelium_of_trachea	respiratory_goblet_cell__respiratory_mucous_cell__serous_cell_of_epithelium_of_trachea
acinar_cell_of_salivary_gland__myoepithelial_cell	acinar_cell_of_salivary_gland__myoepithelial_cell
schwann_cell	schwann_cell
thymocyte	thymocyte
nk_cell	nk_cell
bladder_urothelial_cell	bladder_urothelial_cell
