	fetal_simu_cell_order
neutrophil	neutrophil
fetal_mesencephalon	fetal_mesencephalon
hepatocyte	hepatocyte
nk_cell	nk_cell
macrophage	macrophage
intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine	intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine
melanocyte	melanocyte
cardiac_muscle_cell	cardiac_muscle_cell
erythrocyte__erythroid_progenitor	erythrocyte__erythroid_progenitor
ionocyte__luminal_epithelial_cell_of_mammary_gland	ionocyte__luminal_epithelial_cell_of_mammary_gland
endothelial_cell	endothelial_cell
fibroblast__mesenchymal_stem_cell	fibroblast__mesenchymal_stem_cell
fetal_renal_epithelium	fetal_renal_epithelium
plasmablast	plasmablast
EVT	EVT
salivary_gland_cell	salivary_gland_cell
myeloid_progenitor	myeloid_progenitor
stromal_cell	stromal_cell
intestinal_tuft_cell	intestinal_tuft_cell
fetal_cardiomyocyte	fetal_cardiomyocyte
ciliated_cell__lung_ciliated_cell	ciliated_cell__lung_ciliated_cell
platelet	platelet
SCT	SCT
smooth_muscle_cell	smooth_muscle_cell
mature_conventional_dendritic_cell	mature_conventional_dendritic_cell
kidney_epithelial_cell	kidney_epithelial_cell
adventitial_cell	adventitial_cell
VCT	VCT
b_cell	b_cell
hematopoietic_stem_cell	hematopoietic_stem_cell
thymocyte	thymocyte
t_cell	t_cell
fetal_hepatocyte	fetal_hepatocyte
monocyte	monocyte
