	variance
HBB	320617.06
S100A8	3062.7083
S100A9	2412.8916
APOA2	2106.922
FTL	1756.9965
FTH1	1000.8512
TMSB4X	933.8903
MGP	596.4427
PPBP	548.7519
B2M	432.2236
MT2A	408.468
ACTB	399.99088
ALB	379.90085
EEF1A1	258.65085
VIM	249.44997
CD74	236.8763
SERPINA1	236.6345
RPS27	217.8776
DCN	200.68428
MT1G	189.90756
TAGLN	174.69775
RPLP1	171.95158
RPL41	167.7088
RPS12	159.16539
RPL10	157.00502
TMSB10	154.72401
APOA1	153.03148
RPS18	143.2972
RPL13	130.61633
PF4	129.87625
IFITM2	123.18313
CFD	122.65141
RPL13A	112.99248
RPL34	110.03947
RPS8	107.45819
APOD	102.30761
TPM1	97.70409
S100A6	94.7134
HP	91.24014
RPL21	89.7515
RPL32	88.98945
ACTC1	85.21348
HTN3	85.17166
TPT1	83.4388
CRYAB	82.501
RPL39	81.76874
RPS19	79.83563
MYL7	79.78346
RPS14	78.10532
RPS4X	77.28073
RPS23	77.09976
RPS2	76.83041
RPS29	76.04797
SCGB1A1	75.96881
RPS6	74.57159
SAA1	73.54695
RPL30	73.09877
TPM2	71.72725
AFP	69.130356
PLA2G2A	67.78897
SPP1	67.20046
RPS3A	66.78544
RPS3	66.73398
RPS15A	66.38944
RPS27A	65.81612
SRGN	63.207874
RPL11	61.06794
NRGN	57.22568
RPL3	56.712055
IGFBP7	56.371014
RPS28	55.538223
TTR	54.804325
LYZ	54.14833
SH3BGRL3	53.635914
MT1H	52.33332
SLPI	51.719925
RPL28	51.706226
RPLP2	51.207985
PTMA	49.716015
RPL37	48.72183
GSN	48.590515
RPL19	47.7759
RPL18A	47.3352
GNLY	47.26288
RPL37A	45.293674
S100A11	45.013546
RPS17	44.9763
RPL27A	44.46747
RPL26	43.995167
S100A12	43.441906
CXCL8	43.128204
TXNIP	43.0978
RPL12	42.3707
S100A4	42.274635
RPL7	42.013554
FABP1	41.261726
RPL31	40.18145
SPARCL1	39.899845
OAZ1	38.7594
FGB	38.018986
CXCL1	37.218117
RPS24	36.78361
RPL23A	36.110935
H3F3A	35.622246
RPL35A	35.45141
RPS13	35.174236
GAPDH	34.986015
ORM1	34.505756
RPS15	34.487484
SAT1	33.806896
MMP3	31.266315
TNFAIP6	29.556723
SAA2	29.45405
RPL7A	29.3563
BTG1	28.90858
HSP90AA1	28.71566
NFKBIA	28.630526
IGFBP5	27.780077
RPS21	26.9892
RPL15	26.879354
HNRNPA1	26.683645
WFDC2	26.639828
RPL5	26.428068
RPS25	25.845053
ACTA2	25.721603
MT1X	25.715494
ACTG1	25.46788
RPS26	24.740053
RPL18	24.721743
RPL6	24.718096
RPS7	24.568083
RPL35	24.404392
RPL8	24.199535
CCL4	24.18006
MYL4	24.11155
SOD2	23.831982
RPLP0	23.742308
RPL36	23.009243
RPL29	22.859407
FABP4	22.661518
RPL9	22.652517
APOE	22.577427
MYL6	22.520445
HLA-DRA	22.432972
APOC3	22.392385
FN1	21.866123
ALDOB	21.678297
HLA-B	21.624664
GPX3	21.354042
TIMP3	21.234592
IGFBP6	20.830969
FOS	20.65996
MYL9	20.62106
TNNT2	20.497387
RPL14	19.676226
JCHAIN	19.548615
RPL10A	19.35575
KRT19	19.181969
RPS20	19.10087
MT1E	18.860636
SPINK1	18.778122
STATH	18.601255
GSTP1	18.543068
DSTN	18.481207
FGA	18.01445
MDK	17.955393
TTN	17.629795
CGA	17.463331
TIMP1	17.174013
AHSG	17.038862
JUNB	17.021198
RPS5	16.970196
HLA-A	16.77014
FDCSP	16.230982
