	gene
KIAA1755	KIAA1755
PHF1	PHF1
CCDC127	CCDC127
SHC1	SHC1
FGR	FGR
SLC7A8	SLC7A8
UTP15	UTP15
C6	C6
MMGT1	MMGT1
AC011462.1	AC011462.1
EIF1AX	EIF1AX
SMAP1	SMAP1
MRPL2	MRPL2
PET117	PET117
F12	F12
GPRASP2	GPRASP2
CLEC18C	CLEC18C
EED	EED
IL15RA	IL15RA
PSTK	PSTK
TBX5	TBX5
PDCD4	PDCD4
CD4	CD4
DTYMK	DTYMK
ACVR2B	ACVR2B
PPP1R21	PPP1R21
ABCA3	ABCA3
RXRB	RXRB
DNM1	DNM1
OR6J1	OR6J1
AGAP4	AGAP4
HSF2	HSF2
CCL18	CCL18
H1FNT	H1FNT
KRTAP3-1	KRTAP3-1
MFN1	MFN1
SERPINH1	SERPINH1
C5orf15	C5orf15
DRICH1	DRICH1
ZNF549	ZNF549
BCAT2	BCAT2
HIGD2A	HIGD2A
FAT1	FAT1
SEC11A	SEC11A
FEZ1	FEZ1
SYNE2	SYNE2
RLN1	RLN1
DEFA1B	DEFA1B
DVL2	DVL2
EIF2AK1	EIF2AK1
RALGDS	RALGDS
SH3GLB2	SH3GLB2
ABR	ABR
KSR2	KSR2
ATF6B	ATF6B
EVI2A	EVI2A
UTS2	UTS2
ACSM2A	ACSM2A
PRKAR2B	PRKAR2B
PASK	PASK
COX16	COX16
SLC30A8	SLC30A8
IGFBP7	IGFBP7
SLC4A1AP	SLC4A1AP
CHUK	CHUK
LBX2	LBX2
STK17B	STK17B
PRSS56	PRSS56
POMP	POMP
ZNF502	ZNF502
NLRC3	NLRC3
FBXL19	FBXL19
CD53	CD53
MDFI	MDFI
OLFML2A	OLFML2A
CPZ	CPZ
KCNJ12	KCNJ12
ATG4C	ATG4C
PPP1R14A	PPP1R14A
MYO5A	MYO5A
PPP1R12C	PPP1R12C
GPSM1	GPSM1
INA	INA
GGN	GGN
DMRTA2	DMRTA2
SLC25A29	SLC25A29
EMC3	EMC3
CCR9	CCR9
DNAJB11	DNAJB11
OMD	OMD
KIF5C	KIF5C
DLK2	DLK2
C10orf142	C10orf142
ARMH4	ARMH4
ADAM18	ADAM18
AL391152.1	AL391152.1
PLET1	PLET1
TMEM238	TMEM238
SST	SST
SYNM	SYNM
PLSCR4	PLSCR4
SOX17	SOX17
TET3	TET3
PTP4A2	PTP4A2
ZAP70	ZAP70
ZNF383	ZNF383
ABCF1	ABCF1
LMBRD2	LMBRD2
BTF3L4	BTF3L4
DUSP21	DUSP21
MORN2	MORN2
FAM210A	FAM210A
SCGB3A2	SCGB3A2
KCNQ5	KCNQ5
C16orf72	C16orf72
SUMO1	SUMO1
RMI1	RMI1
C7orf26	C7orf26
SLC25A51	SLC25A51
TMEM120A	TMEM120A
FAM122A	FAM122A
A1BG	A1BG
RPS26	RPS26
UQCRQ	UQCRQ
ARHGEF3	ARHGEF3
WFIKKN1	WFIKKN1
C4BPA	C4BPA
ANKLE2	ANKLE2
GART	GART
PTPRK	PTPRK
USP44	USP44
RBM4B	RBM4B
LGALS8	LGALS8
UGCG	UGCG
GRB14	GRB14
MICAL3	MICAL3
NEK5	NEK5
ICE1	ICE1
CD80	CD80
FKBP7	FKBP7
C19orf24	C19orf24
ZNF460	ZNF460
FCRL6	FCRL6
CDK1	CDK1
CRMP1	CRMP1
PQBP1	PQBP1
DPH7	DPH7
MAN2B1	MAN2B1
HAUS1	HAUS1
ZNF141	ZNF141
ABI2	ABI2
SNX6	SNX6
FMO3	FMO3
APOBEC3F	APOBEC3F
ADTRP	ADTRP
GGT5	GGT5
CRAT	CRAT
NUBP1	NUBP1
