	variance
INS	122507.766
HBB	97305.61
HTN3	9111.592
STATH	6850.7705
CLPS	6606.4263
SCGB1A1	5828.3955
PRSS1	5817.788
HBA2	5204.572
SFTPC	5164.0474
KRT13	4799.2925
MT-CO3	3410.7766
HBA1	2790.7354
S100A9	2279.0002
MT-CO1	2216.728
MT-CO2	2175.8408
SCGB3A1	1980.927
LYZ	1794.2081
S100A8	1789.574
TFF2	1690.7295
CPA1	1323.1135
MT-CYB	1290.7101
MT-ATP6	1276.2108
PRB3	1118.8485
HTN1	1110.8469
MT-ND3	1103.6821
CTRB1	1089.6293
PGC	953.7913
FTL	882.95435
MT-ND4	832.4281
CPB1	745.6048
ITLN1	652.82666
SLPI	649.9922
CSTB	617.7442
REG1A	607.55554
FTH1	560.89703
TTR	477.948
CGA	474.4555
MSMB	472.06668
KRT4	453.10007
MGP	392.33408
SPRR3	390.43027
HP	356.813
FN1	354.2858
CSH1	345.1126
ACPP	326.2074
KLK3	300.83765
GCG	269.62048
GP2	258.73737
MT2A	242.03416
PLA2G1B	226.4827
MT-ND1	220.43295
TAGLN	213.47794
SPINK1	203.39864
CTRC	202.48592
ZG16B	190.34554
ALB	175.6806
WFDC2	168.47968
CELA3A	159.13155
CTRB2	150.43457
TMSB4X	150.33313
APOD	150.15454
S100A6	149.07439
CEL	143.58275
SYCN	143.15009
MT-ND2	140.33952
KRT6A	137.0593
SPINK5	135.35378
B2M	131.81445
LCN2	129.7119
ACTB	125.95914
JCHAIN	124.65438
RPLP1	120.644844
SCGB3A2	119.93742
EEF1A1	114.89494
SFTPB	114.08972
TPT1	110.91346
DCN	109.33771
SFTPA1	101.494354
VIM	100.34066
RPL41	99.39074
RPS18	97.99032
RPS12	97.49975
IAPP	96.1431
TIMP1	94.76262
CSTA	89.90331
TMSB10	89.73581
BPIFB1	83.98895
PRH2	82.12635
CD74	74.12985
RPL10	72.14003
ANXA1	71.7875
RPL13	71.63122
MUC6	68.2841
RPS2	67.24037
TPM1	65.44766
TPM2	64.32529
ACTC1	61.7409
RPS8	58.917427
KRT19	57.52432
RPS27	56.343914
IGFBP7	53.79145
KRT16	53.484985
PAGE4	53.341473
TFF3	51.78453
C6orf58	51.57041
MYL7	50.79898
CFD	50.228134
PPBP	49.954296
PTMA	49.79597
TIMP3	49.015804
RPS23	47.94306
SAA1	46.190228
PLA2G2A	44.46794
MYL9	43.98222
RPL28	41.54336
MT-ND5	41.379963
RPS6	40.716614
C11orf96	40.50085
RPL39	40.48226
S100A11	39.986618
RPL34	39.898926
RPS19	39.8273
SFN	38.778755
RPL32	38.54381
CPA2	37.9004
RPS3	37.45379
AGR2	37.013866
RPL37	35.19478
RPS4X	34.90491
SERPINA1	34.827145
FABP5	34.700935
RPL13A	34.261974
RPS14	33.548077
RPS3A	32.119427
CELA3B	31.686985
GAPDH	31.45665
KRTDAP	30.325806
DES	29.888454
KRT18	29.728025
RPS29	29.51371
ITM2B	29.49089
S100P	28.74678
PIGR	28.740065
RPL30	28.64355
RPS28	28.303246
RPS27A	28.284538
RPL11	28.038128
GSTP1	28.012924
RPS15A	27.915958
RPL37A	27.459549
CRYAB	27.419035
SPARCL1	26.861403
PRG4	26.274937
RPL3	26.139149
RPL18A	25.970108
DEFB1	25.627214
GSN	25.367592
FDCSP	25.362978
RPLP0	25.292469
ACTA2	24.845165
SBSN	24.531374
RPS24	24.463787
RPL19	24.181572
KLK2	23.56992
RPL12	23.403666
SAT1	23.243053
AZGP1	23.068678
RPL7A	21.28799
KRT8	21.2757
RHCG	21.260384
IGFBP5	20.885424
PERP	20.816858
ORM1	20.681463
BPIFA1	20.30985
FOS	20.042969
RPL26	19.611626
TPSB2	19.546347
IFITM3	19.097204
HSP90AA1	18.399044
CELA2A	18.173786
TTN	18.090956
FGB	17.991776
RPLP2	17.800316
ZG16	17.612158
SERPINE2	17.391388
RPS21	17.254622
RPL21	16.74134
CXCL8	16.367273
CXCL1	16.359629
SAA2	16.351149
RPL27A	16.126062
IGF2	16.045246
RPS13	15.770925
DSP	15.768227
HIST1H4C	15.764005
APOE	15.722227
RPS15	15.2257
UBC	15.205628
RPL5	15.124266
APOA1	14.890125
ACTG2	14.838846
SPP1	14.7372875
S100A10	14.653874
MT1X	14.270324
PF4	14.199712
MMP3	13.915184
HSP90B1	13.833551
SPRR2A	13.823052
PHLDA2	13.768254
RPL8	13.6222105
KRT7	13.54139
MYL4	13.449687
APOC3	13.416454
SRGN	13.394203
RPL29	13.283107
CALD1	13.274584
RPL36	13.225471
LGALS4	13.209171
NAPSA	13.178798
MYL6	13.154951
TXN	13.119124
GNAS	13.058502
RPL15	13.052727
S100A4	13.031206
ADIRF	12.942891
RPL18	12.9193535
RPS7	12.881954
HSPB1	12.785517
DCT	12.740433
RPL35A	12.648353
JUN	12.635809
ACTG1	12.287531
LGALS1	12.223109
HSPA1A	12.156869
RPL14	12.098111
DSTN	12.079228
PRB2	11.992944
KRT14	11.936595
RPL23A	11.906386
TNNT2	11.655809
IFITM2	11.551394
RPS16	11.472191
CST3	11.143189
TXNIP	10.876143
C3	10.864776
RPL10A	10.823256
S100A14	10.775436
FABP4	10.763412
JUNB	10.736939
CA6	10.731711
RPS5	10.673403
NFKBIA	10.645268
S100A2	10.637891
GPX3	10.615885
PNLIPRP1	10.437519
HLA-DRA	10.3033085
CLU	10.225258
TNFAIP6	10.224074
TPSAB1	10.07972
CLDN4	10.048846
RPL9	9.977751
RPS25	9.934374
HLA-A	9.830002
IFI27	9.733567
IGFBP6	9.683747
HLA-B	9.653135
MYH11	9.02758
RACK1	9.002432
RPS9	8.93752
RPL6	8.905056
CELA2B	8.892843
RPL7	8.839275
GPX1	8.791982
RPL31	8.790643
PSCA	8.761213
H3F3B	8.509419
RPS11	8.4992895
SERPINB3	8.391264
FGA	8.338654
PIP	8.286869
TNNI1	8.258568
SOD2	8.225138
RARRES1	7.992306
PRH1	7.9425893
FLT1	7.8989825
SH3BGRL3	7.85302
ZFP36	7.7701178
IFI6	7.7288575
RPS20	7.69801
BTG1	7.61982
TACSTD2	7.5803447
TNNC1	7.511449
RPSA	7.479453
AREG	7.321394
FGG	7.254592
RPL35	7.1601086
SERPING1	7.056002
EEF1B2	7.033978
MZB1	6.889775
FAU	6.867272
SUB1	6.83053
ANXA2	6.6863675
RPL23	6.6376147
DHRS2	6.5946565
KRT6C	6.57378
PPIB	6.555089
RNASE1	6.3902335
CEBPD	6.362192
EIF1	6.3432193
IER3	6.3414154
CD63	6.14234
PRSS3	6.045474
KLF6	6.034073
ALDOB	5.966055
C1QB	5.9075084
ELF3	5.8785205
AOC1	5.784292
SSR4	5.7471395
RPS26	5.6870227
CAPS	5.675066
ADH1B	5.631065
PFN1	5.629723
DUSP1	5.629068
JUND	5.602145
OAZ1	5.556469
PCSK1N	5.5424848
RPS17	5.5397983
LGALS3	5.517559
MMP1	5.414205
NRGN	5.410457
RPL24	5.378848
LY6D	5.272443
SCGB2A1	5.261759
NACA	5.1803164
AFP	5.1585073
CD9	5.1271977
SPRR1B	5.118763
ANXA4	5.068805
HMGB1	4.9975557
LTF	4.875357
BPIFA2	4.844717
MT-ND4L	4.7801776
MYH6	4.7768817
OLFM4	4.7602153
CYBA	4.751619
HSP90AB1	4.6834855
GDF15	4.643497
NOTUM	4.622273
C1QA	4.584639
FBLN1	4.579703
SCG5	4.565052
GOLM1	4.552315
FOSB	4.5011106
HPGD	4.37172
SST	4.369524
NPM1	4.3536224
CEBPB	4.293874
ZFP36L2	4.273187
H3F3A	4.2239914
RPL38	4.168519
MIF	4.1633754
MMP7	4.134513
FABP1	4.1268415
HOPX	4.1019173
NPC2	4.0916185
XBP1	4.0901737
AKR1C1	4.083213
EGR1	4.0294685
CPE	3.9864607
CYB5A	3.9675193
RPL4	3.932722
PTGDS	3.9294417
KRT6B	3.9281344
CDKN1C	3.8743768
S100A12	3.8578124
CXCL3	3.824526
HLA-C	3.8039532
CCDC80	3.7841132
APOC1	3.7493875
GADD45B	3.7406998
SERF2	3.723514
COL6A2	3.638725
CALM1	3.628749
BTG2	3.6009562
C7	3.5833447
ZFP36L1	3.580998
FSTL3	3.561607
MT1E	3.5292597
KLK1	3.5200338
TUBA1B	3.5186036
AMBP	3.4757934
MGST1	3.4752116
CLDN3	3.474791
MFAP5	3.4556265
SERPINE1	3.4482653
COL6A3	3.3940663
TYRP1	3.3348272
CA1	3.3219602
SLC4A4	3.2940614
RPL27	3.2913377
ATP5MC3	3.2852476
DYNLL1	3.2454822
CCL4	3.2158957
HNRNPA1	3.2109182
TUBB4B	3.1970484
CNFN	3.1919062
SPRR2E	3.191378
C1R	3.1897633
ATF3	3.1881824
KRT17	3.1852841
CXCL17	3.17932
CSH2	3.1694064
S100A16	3.1352208
RBP4	3.1311288
NEFH	3.1111736
MAL	3.0906942
TM4SF1	3.077064
GATM	3.0549035
YBX1	3.0471287
PEG10	3.027592
RGS5	2.9771333
CXCL2	2.96381
S100A7	2.947682
LCP1	2.921396
S100B	2.9050376
SEC11C	2.903732
PRDX5	2.8984451
CXCR4	2.8928916
RPS10	2.8924158
FLNA	2.8904738
KISS1	2.8850684
KRT5	2.8757985
COX7C	2.8349576
ATP5F1E	2.8247366
SERPINF1	2.8245015
APOA2	2.7442005
MUC5B	2.7127364
UBB	2.696358
DBI	2.6677833
HLA-E	2.6663313
CTSS	2.6478317
PDK4	2.6206737
XAGE3	2.5898397
LYPD3	2.5859447
PAPPA2	2.5832942
SOX4	2.5774775
HLA-G	2.570634
PPDPF	2.5558498
TSPAN1	2.5548987
NNMT	2.5513563
NDUFA4	2.547184
LDHA	2.5345771
CFL1	2.5140595
CCL2	2.4911509
AQP3	2.4801288
THBS4	2.448203
COL1A2	2.4424973
RPL22	2.4397733
TSC22D3	2.4229236
PPIA	2.414886
APOB	2.41089
GNLY	2.4036355
CALR	2.399407
EEF2	2.3853948
CTSL	2.3806226
DSC2	2.38044
HSPA5	2.380279
G0S2	2.3756244
PRDX1	2.3722308
PMEL	2.3657439
HLA-DPA1	2.354199
TYROBP	2.234348
LDHB	2.232564
ID1	2.2237265
UBA52	2.1969347
CHGA	2.170416
KLF2	2.1689796
ANXA5	2.165447
KRT1	2.1381025
IGLL5	2.1343534
PSAP	2.1283965
CTSD	2.1173506
ENO1	2.1048312
IER2	2.0997741
ATP1A1	2.089929
RHOB	2.0608585
TF	2.0565403
CD81	2.0561576
SNCG	2.0544848
CSRP1	2.0531108
IGFBP3	2.033267
KRT23	2.0314403
VCAN	2.0204494
C1S	2.0056705
SPARC	1.9982113
TPM4	1.981669
RDH11	1.9647803
EPCAM	1.9473983
BGN	1.9371557
CLIC3	1.9342122
TPI1	1.9321185
IGFBP2	1.9218237
MUC1	1.8972486
HSPA1B	1.8915101
LY6E	1.8812934
MDK	1.8728461
DMBT1	1.8611376
ITGB1	1.8579636
H2AFZ	1.8512561
TSPAN8	1.8473803
ATP1B1	1.8451383
ID3	1.843618
TAGLN2	1.8338815
TMEM190	1.8316921
PEBP1	1.8066709
PNRC1	1.8049786
TSPO	1.8028111
MGST3	1.791887
MYLK	1.7899994
MT1G	1.7830367
CAV1	1.772995
DNAJB1	1.7720574
AHNAK	1.7687029
CNN1	1.7408965
EMP1	1.7363575
ID2	1.7304908
CYP2E1	1.721475
TLN1	1.7118597
COX4I1	1.7069209
MFGE8	1.7059991
FCER1G	1.7046986
BRI3	1.6847662
CRCT1	1.6798421
SELENOW	1.6753666
LMNA	1.6583873
PABPC1	1.6574256
LPP	1.6528487
MMP2	1.6399477
IL7R	1.6323825
NCL	1.6288078
SFTA2	1.6277986
BTF3	1.6203574
SLC34A2	1.6158884
CTSB	1.6064934
PRG2	1.6016577
GLUL	1.5935825
C15orf48	1.5930325
SRP14	1.5915923
ORM2	1.5830264
UQCRH	1.5777328
SLC25A37	1.5606517
CTSH	1.5532469
CFTR	1.5420841
COTL1	1.5223907
CD59	1.5201426
MYL12A	1.5049367
HBD	1.4978031
HNRNPA2B1	1.4971137
TUBA1A	1.4882424
TNC	1.4815916
COL6A1	1.4758219
COL3A1	1.4728098
CD69	1.4723842
TNFSF10	1.4637471
MLN	1.4557077
HSPA8	1.4542435
EFEMP1	1.4541104
MARCKS	1.4383894
PPP1R14A	1.4358515
TCEAL4	1.4279281
AMY2B	1.4160192
SQSTM1	1.4135511
YBX3	1.4081218
HLA-DPB1	1.4039927
