	kidney_epithelial_cell	innate_lymphoid_cell	neutrophil	goblet_cell	smooth_muscle_cell	basal_cell	intestinal_enteroendocrine_cell__paneth_cell_of_epithelium_of_small_intestine__transit_amplifying_cell_of_small_intestine	cell_of_skeletal_muscle	keratinocyte	endothelial_cell	basophil	b_cell	intestinal_tuft_cell	stromal_cell	club_cell_of_prostate_epithelium__hillock_cell_of_prostate_epithelium__hillock_club_cell_of_prostate_epithelium	club_cell__type_i_pneumocyte	salivary_gland_cell	ionocyte__luminal_epithelial_cell_of_mammary_gland	cardiac_muscle_cell	immature_enterocyte__intestinal_crypt_stem_cell__intestinal_crypt_stem_cell_of_small_intestine__transit_amplifying_cell_of_large_intestine	monocyte	plasmablast	pulmonary_ionocyte	type_ii_pneumocyte	intrahepatic_cholangiocyte	mucus_secreting_cell__secretory_cell__tracheal_goblet_cell	fibroblast__mesenchymal_stem_cell	adventitial_cell	ciliated_cell__lung_ciliated_cell	mesothelial_cell	pancreatic_ductal_cell	plasma_cell	erythrocyte__erythroid_progenitor	mature_conventional_dendritic_cell	luminal_cell_of_prostate_epithelium	pancreatic_acinar_cell	myeloid_progenitor	mast_cell	platelet	macrophage	melanocyte	hematopoietic_stem_cell	t_cell	tendon_cell	pancreatic_stellate_cell	hepatocyte	duodenum_glandular_cell	basal_cell_of_prostate_epithelium	medullary_thymic_epithelial_cell	pericyte_cell	duct_epithelial_cell__serous_cell_of_epithelium_of_bronchus	pancreatic_alpha_cell__pancreatic_beta_cell	intestinal_enterocyte	ciliated_epithelial_cell__epithelial_cell_of_uterus	respiratory_goblet_cell__respiratory_mucous_cell__serous_cell_of_epithelium_of_trachea	acinar_cell_of_salivary_gland__myoepithelial_cell	schwann_cell	thymocyte	nk_cell	bladder_urothelial_cell
sample_1000_0_0	0.0007772177341394126	0.00039480405393987894	0.00032063579419627786	0.001566838356666267	0.0005726156523451209	0.000510506215505302	0.0007642204291187227	0.00028328600456006825	0.0005376192857511342	0.0011744953226298094	0.0005715000443160534	0.00045403657713904977	0.0009303967817686498	0.00023016738123260438	0.00035083017428405583	0.0006006706389598548	0.000568886287510395	0.00043671412277035415	0.000710034160874784	0.0008842191891744733	0.0006562294438481331	0.0006367832538671792	0.0005586774204857647	0.0003332930791657418	0.00045388113358058035	0.0015279344515874982	0.00025343705783598125	0.00018014601664617658	0.0017700091702863574	0.00040249948506243527	0.0006944741471670568	0.00048555867397226393	0.08723718672990799	0.0005614899564534426	0.0004017209867015481	0.00039384569390676916	0.000772680330555886	0.0007588185835629702	0.0003761830448638648	0.0003027256461791694	0.0007503175875172019	0.00034281937405467033	0.0005014556809328496	0.00048074231017380953	0.0003506354696583003	0.0002658895682543516	0.0006513807456940413	0.0016393803525716066	0.0002391437446931377	0.0003925185010302812	0.001443953369744122	0.0007631307817064226	0.000477289198897779	0.5991731286048889	0.278268963098526	0.0005017886869609356	0.0006927590002305806	0.0005103419534862041	0.0002934957155957818	0.0008636105922050774
sample_1000_0_1	0.05172394588589668	0.0013216269435361028	0.0015738880028948188	0.0017067843582481146	0.0024193930439651012	0.0016110994620248675	0.0010612241458147764	0.001109623466618359	0.049612514674663544	0.05163948982954025	0.0013188059674575925	0.0012434021336957812	0.0019498174078762531	0.002257027430459857	0.0322294756770134	0.07031652331352234	0.002208082238212228	0.002728411229327321	0.045381005853414536	0.002832448109984398	0.0753435492515564	0.03881612420082092	0.06729273498058319	0.003319205017760396	0.00661841593682766	0.04388017579913139	0.02305399812757969	0.0013552638702094555	0.02815048024058342	0.0012222504010424018	0.044919248670339584	0.0009674261673353612	0.0034314978402107954	0.0014321156777441502	0.002718903124332428	0.0018602521158754826	0.000877106562256813	0.0016710169147700071	0.0011885317508131266	0.0015467595076188445	0.0011066381121054292	0.0008603071910329163	0.0010333018144592643	0.05998682230710983	0.0031861988827586174	0.026906302198767662	0.0012869169004261494	0.06094644218683243	0.04764169827103615	0.03557034954428673	0.0019945534877479076	0.0013039680197834969	0.0018052333034574986	0.0033639820758253336	0.0009358341922052205	0.0012707551941275597	0.0018009806517511606	0.0005048282910138369	0.0705404207110405	0.0020448267459869385
sample_1000_0_2	0.0006684591062366962	0.0003426560142543167	0.000574310019146651	0.000767206831369549	0.00022796836856286973	0.00040944901411421597	0.00033415405778214335	0.00040862674359232187	0.00045846033026464283	0.00045622550533153117	0.0002519820409361273	0.0005720126791857183	0.00034766708267852664	0.0005304769147187471	0.0003829197376035154	0.0004399301833473146	0.35161134600639343	0.0010454177390784025	0.0004682467260863632	0.0004873178550042212	0.0008490622276440263	0.0006876416737213731	0.0005214181146584451	0.0011316905729472637	0.2423730492591858	0.0003471333475317806	0.0005259806639514863	0.0003538675664458424	0.00045603455509990454	0.00042136982665397227	0.00032955201459117234	0.0005573732196353376	0.00047222920693457127	0.000939994293730706	0.0007001847843639553	0.00040525870281271636	0.0006667076959274709	0.0008656466961838305	0.0006631686119362712	0.0008181132143363357	0.0004435992450453341	0.0003585127124097198	0.00048243114724755287	0.0008166920160874724	0.0002525759337004274	0.0011810662690550089	0.000703696976415813	0.0002770460268948227	0.0003200291539542377	0.00036511721555143595	0.001129294978454709	0.00033908410114236176	0.0002982573350891471	0.0003232058079447597	0.00022519161575473845	0.0003728413430508226	0.0004878598265349865	0.00048394373152405024	0.37602248787879944	0.00024672929430380464
sample_1000_0_3	0.0025945266243070364	0.0014570127241313457	0.0394044890999794	0.0019365730695426464	0.0026576705276966095	0.0007166463765315711	0.001611453015357256	0.0014867871068418026	0.0006713007460348308	0.0017571770586073399	0.08435732126235962	0.0009804072324186563	0.08271307498216629	0.08286873251199722	0.05470934510231018	0.02872673235833645	0.01601170189678669	0.0014468925073742867	0.001099388231523335	0.042543187737464905	0.0043647196143865585	0.0010118496138602495	0.004578523803502321	0.002352458657696843	0.003166673704981804	0.001603952725417912	0.0031723238062113523	0.0016428697854280472	0.0008370758732780814	0.021748706698417664	0.0016002549091354012	0.0010533311869949102	0.0013771845260635018	0.0012021884322166443	0.0019304811721667647	0.0009716252679936588	0.06726715713739395	0.004361104220151901	0.0023041197564452887	0.0018975874409079552	0.000983277685008943	0.0012164859799668193	0.0007733280654065311	0.001866816426627338	0.028551824390888214	0.017734114080667496	0.0011011247988790274	0.002214230829849839	0.058577798306941986	0.05918186157941818	0.08756723999977112	0.06320234388113022	0.001433085068129003	0.0018201934872195125	0.0012651811121031642	0.003138958243653178	0.08636854588985443	0.00047557061770930886	0.000731570296920836	0.003601894248276949
sample_1000_0_4	0.00077182671520859	0.0004104684048797935	0.00022984185488894582	0.00047831895062699914	0.0008838868816383183	0.00036533395177684724	0.0003012951638083905	0.0003939179587177932	0.0004598634841386229	0.0004787867364939302	0.0003017472045030445	0.00029751460533589125	0.0001689525379333645	0.0010272637009620667	0.0009964712662622333	0.0007293103844858706	0.0007414501742459834	0.000593244971241802	0.0024739461950957775	0.0007395339198410511	0.0007868732209317386	0.00039587533683516085	0.0007502913940697908	0.0005419764202088118	0.0007808998343534768	0.00034255842911079526	0.0038784188218414783	0.5529746413230896	0.0007330476073548198	0.0008258954039774835	0.00039253360591828823	0.000466228520963341	0.0003699798253364861	0.000334590848069638	0.0007982702227309346	0.0007524091051891446	0.002198209520429373	0.000348523142747581	0.0006062313332222402	0.0003964749048464	0.0005009662127122283	0.00031327654141932726	0.0004507494159042835	0.0003487188077997416	0.000689398730173707	0.4046224057674408	0.0002594581455923617	0.00028328030020929873	0.00046648140414617956	0.000263380934484303	0.000702407443895936	0.00033540133154019713	0.0006303134723566473	0.0008136979886330664	0.0004757841816172004	0.005504089407622814	0.0005788239068351686	0.00022355855617206544	0.00045635964488610625	0.0005644533084705472
sample_1000_0_5	0.00205877679400146	0.001613353262655437	0.0009626993560232222	0.003264146391302347	0.0022219792008399963	0.0009094016859307885	0.0016890938859432936	0.0013107964769005775	0.0017425685655325651	0.001558176358230412	0.002249654848128557	0.0010794479167088866	0.027597647160291672	0.02518765814602375	0.002780547831207514	0.0016279153060168028	0.06607842445373535	0.004086030647158623	0.0009538885788060725	0.036431364715099335	0.10266086459159851	0.0010455241426825523	0.06710068881511688	0.0011206197086721659	0.0038520400412380695	0.07437291741371155	0.001487972680479288	0.0011704150820150971	0.0014041111571714282	0.0009235006291419268	0.0014196857810020447	0.0015738530782982707	0.002081990474835038	0.002447140635922551	0.07824458181858063	0.0011157841654494405	0.0008732948917895555	0.08615680783987045	0.0010675264056771994	0.001711095916107297	0.0007557892240583897	0.0005679980968125165	0.0014386565890163183	0.06872385740280151	0.08754997700452805	0.03863043710589409	0.0011468133889138699	0.005730442702770233	0.001312069594860077	0.010152430273592472	0.06288536638021469	0.034743793308734894	0.0015460432041436434	0.05697537213563919	0.0011008320143446326	0.0036233330611139536	0.002445607678964734	0.0005959427217021585	0.0008943102438934147	0.0019470471888780594
sample_1000_0_6	0.001080151996575296	0.43685561418533325	0.0006062059546820819	0.0008187063504010439	0.00028342439327389	0.0003791361232288182	0.0006160656921565533	0.0004610604664776474	0.00039454156649298966	0.00032381663913838565	0.0007580299279652536	0.002103090286254883	0.0002490711922291666	0.0007400049944408238	0.0006464244797825813	0.0005698317545466125	0.0001909740676637739	0.00038579344982281327	0.0006306698778644204	0.0010507501428946853	0.0008099181577563286	0.0007718375418335199	0.0010231058113276958	0.0006866868352517486	0.001234825816936791	0.0005683630588464439	0.000326525914715603	0.0005083256983198225	0.0005751491989940405	0.0006185942911542952	0.0011037004878744483	0.0005565355531871319	0.0005287881358526647	0.0008239892777055502	0.0005399439251050353	0.20222947001457214	0.001968364929780364	0.0008157175616361201	0.0007203471614047885	0.00041692028753459454	0.0003256579802837223	0.001009870320558548	0.0043016294948756695	0.0003242738894186914	0.0004459623305592686	0.31911197304725647	0.0006263270624913275	0.0003790634509641677	0.0004486311518121511	0.0003362297429703176	0.0006706639542244375	0.0006257234490476549	0.0005815197364427149	0.0003447533235885203	0.0009295086492784321	0.0002841990499291569	0.00044290447840467095	0.0010459321783855557	0.0004494143940974027	0.0013453064020723104
sample_1000_0_7	0.0009487284114584327	0.005840358790010214	0.0014180616708472371	0.0015739734517410398	0.00046852946979925036	0.0003257113858126104	0.10307249426841736	0.00043978646863251925	0.0005956743843853474	0.0007165974820964038	0.0009248704882338643	0.0007036445895209908	0.0009410239872522652	0.0974266454577446	0.0011138272238895297	0.0017385774990543723	0.0003756124060600996	0.001054702210240066	0.0008663022890686989	0.0016747080953791738	0.002677010605111718	0.00521225668489933	0.0023822442162781954	0.0009549718233756721	0.0014023910043761134	0.000812117476016283	0.0012017098488286138	0.0007867735694162548	0.055303942412137985	0.0015127973165363073	0.0007941234507597983	0.10104481875896454	0.0011419798247516155	0.000917825847864151	0.0015144342323765159	0.0015808928292244673	0.0005737998289987445	0.0025094475131481886	0.0009164910879917443	0.0005773537559434772	0.0007674149819649756	0.0010711872018873692	0.14775238931179047	0.001115774386562407	0.0008464274578727782	0.0016000433824956417	0.0007103597745299339	0.0008252692059613764	0.0009660868672654033	0.0007421867921948433	0.00220213714055717	0.19857878983020782	0.0008258608868345618	0.0008957473910413682	0.0005524202133528888	0.06918592005968094	0.0007256826502270997	0.0016784720355644822	0.16148445010185242	0.0014362833462655544
sample_1000_0_8	0.0012726860586553812	0.00045755435712635517	0.00028507699607871473	0.0007418147870339453	0.00046698012738488615	0.0007600037497468293	0.0007750980439595878	0.0003331952902954072	0.000702820485457778	0.0008714491268619895	0.00036536826519295573	0.0002840678207576275	0.0003131443227175623	0.0003768527240026742	0.0009869313798844814	0.5660162568092346	0.0009672035230323672	0.0005006227875128388	0.00036110164364799857	0.3971080482006073	0.0009031342342495918	0.00039326446130871773	0.0007091824663802981	0.0038631658535450697	0.0007949408609420061	0.0005767837283201516	0.000251853110967204	0.00039686288801021874	0.0006383951404131949	0.0003830691857729107	0.0007473940495401621	0.0005544018931686878	0.0005040096584707499	0.0003188562113791704	0.0006870502838864923	0.000563671113923192	0.0012168481480330229	0.0003937019791919738	0.0008310356643050909	0.0002201009774580598	0.0003509253147058189	0.0005024491692893207	0.00031273424974642694	0.00038565820432268083	0.0004970984300598502	0.0003640420618467033	0.0005593915120698512	0.0006398360128514469	0.00046296510845422745	0.00040035636629909277	0.00030963440076448023	0.0005340251955203712	0.0021774638444185257	0.00045929173938930035	0.0008330800919793546	0.0004415739676915109	0.00036316338810138404	0.0003866666811518371	0.00037732216878794134	0.0007483790395781398
sample_1000_0_9	0.004052557982504368	0.0016813176916912198	0.0009242186206392944	0.0026795954909175634	0.0005393133615143597	0.0006783332792110741	0.06651059538125992	0.00103688333183527	0.0008310847915709019	0.050878215581178665	0.0014164515305310488	0.0010262805735692382	0.05602048337459564	0.0018418008694425225	0.061165567487478256	0.0020351288840174675	0.0005122760776430368	0.0015969440573826432	0.058643389493227005	0.006477033253759146	0.051964256912469864	0.0014447062276303768	0.003237674478441477	0.0022266909945756197	0.003565631341189146	0.0027796674985438585	0.0009944173507392406	0.0005598876741714776	0.03414144366979599	0.0014012798201292753	0.056998372077941895	0.0008678546873852611	0.11391444504261017	0.0015436975518241525	0.05065665394067764	0.001624262542463839	0.0008868937729857862	0.003051224397495389	0.0016529071144759655	0.0007981244707480073	0.07184837758541107	0.0007467044051736593	0.0015557552687823772	0.004614486359059811	0.0010115202749148011	0.05703214183449745	0.0009550960385240614	0.005173397716134787	0.0014973599463701248	0.0011693194974213839	0.0014405925758183002	0.0010645262664183974	0.06632115691900253	0.001550497836433351	0.0007477826438844204	0.0006080970051698387	0.03452577814459801	0.09026667475700378	0.0006941897445358336	0.0023189650382846594
