	variance
HBB	126864.305
INS	27039.193
HTN3	9161.39
STATH	5191.625
HBA2	5144.6133
SCGB1A1	4482.3203
MT-CO3	3938.1575
SFTPC	3764.039
KRT13	3098.6155
HBA1	2854.9917
MT-CO1	2743.2925
MT-CO2	2567.7092
PRSS1	2536.165
CLPS	2292.1692
S100A8	1981.3794
S100A9	1787.8745
LYZ	1655.8419
SCGB3A1	1651.6023
PRB3	1611.1144
TFF2	1387.9528
MT-ATP6	1375.546
MT-CYB	1315.1881
MT-ND3	984.1574
FTH1	902.9397
HTN1	866.2562
PGC	810.6895
MT-ND4	777.2453
TTR	755.1266
FTL	747.9794
CPA1	646.18066
PNLIP	607.19965
GCG	514.0963
SLPI	487.98572
CTRB1	470.26733
MSMB	380.312
CPB1	338.83847
MGP	331.89627
TMSB4X	326.33243
ACPP	320.009
SCGB3A2	297.3341
PRB4	270.46283
MT2A	250.20566
PPBP	248.5079
ITLN1	245.1375
KLK3	241.61823
TAGLN	237.49402
REG1A	227.38188
ACTB	220.0259
ALB	213.03728
SMR3B	209.75246
MT-ND1	207.52396
CSTB	198.28313
KRT4	188.47772
VIM	184.55557
EEF1A1	177.13927
B2M	162.81062
MT-ND2	143.1652
HP	140.12231
RPLP1	128.11327
APOD	128.10773
DCN	116.74331
RPL41	111.95924
CD74	108.20798
GP2	106.95077
RPS12	106.64906
TPSB2	105.59607
RPS27	104.08664
SPRR3	98.97536
S100A6	97.57138
CTRC	96.20502
SFTPA2	95.23541
RPL10	94.66182
WFDC2	93.8177
PLA2G1B	92.57756
SPINK5	89.93557
SFTPB	88.25024
TFF3	87.31567
TMSB10	84.94319
SEMG1	83.16042
RPL13	82.35209
TPT1	80.96866
RPS18	79.51665
SPINK1	77.16478
KRT6A	76.02098
MUC6	72.73567
JCHAIN	71.66868
TPM2	70.554344
CEL	64.365715
SFTPA1	63.140835
SYCN	61.52587
ZG16B	60.119743
CELA3A	58.94377
PF4	58.8367
IFITM2	58.75029
C11orf96	57.492954
CFD	57.29097
KRT16	57.274704
IGFBP7	56.919483
RPL30	56.73444
MYL9	56.615196
PRH2	55.267864
RPL32	55.179916
CTRB2	54.645817
SRGN	53.968433
RPS8	52.892704
C6orf58	48.879616
RPL39	48.783787
RPS23	48.6139
MT-ND5	48.07739
RPL34	47.48879
CSTA	47.48569
TPSAB1	46.88336
TPM1	46.142864
RPS27A	45.86434
RPS4X	42.471695
RPL28	42.116085
RPS19	40.741753
BPIFB1	40.74095
RPL11	40.483616
SPARCL1	39.847374
DES	39.711243
RPS3	38.807613
LCN2	38.71598
TIMP1	37.94369
RPS2	37.92427
CRYAB	37.54389
GPX1	37.333313
ACTC1	37.30726
ANXA1	35.3204
MYL7	34.92307
SFN	34.69034
SAA1	34.518017
AGR2	34.461254
RPS3A	33.721874
RPS15A	33.355923
RPS28	33.32934
RPL37	33.300594
KRT19	33.28785
S100A11	33.279358
RPS14	33.18234
RPL19	32.703537
PLA2G2A	32.36109
SEMG2	31.714254
PTMA	30.27413
ZG16	29.249243
RPS29	27.66681
RPS6	27.554592
FABP5	26.884415
GSN	26.06204
SH3BGRL3	25.953583
NRGN	25.93536
ACTA2	25.53572
RPL12	25.513727
TXNIP	24.484722
GSTP1	24.186897
RPL3	23.923716
S100A4	23.732977
RPL18A	23.369728
AZGP1	22.808502
SAT1	22.347403
HSPA1A	22.192884
RPS24	21.819162
RPS13	21.136673
SERPINA1	21.023062
AREG	20.934498
GAPDH	20.675852
CXCL8	20.616554
S100A12	20.15366
PIGR	19.558226
BTG1	19.544785
KLK2	19.488342
RPS21	19.404549
IGFBP5	18.919643
OAZ1	18.889446
TIMP3	18.365192
FOS	18.36384
RPL7A	18.338575
ACTG2	18.142292
CXCL1	17.865158
RPS15	17.617792
HSP90AA1	17.612118
RPL13A	17.3933
NFKBIA	17.193893
RPL35A	16.9378
DSP	16.91554
FGB	16.825262
MYL6	16.657406
RPL21	16.535137
CPA2	16.43351
PRB1	16.314602
PRG4	16.251455
RPL18	15.681328
RPL37A	15.556549
RPL26	15.536175
ORM1	15.346299
PERP	15.274655
JUNB	15.164844
MMP3	14.659931
RPL8	14.547918
RPS7	14.517455
RPLP2	14.251208
RPL5	14.167192
TNFAIP6	13.817396
RPL29	13.705737
RPL14	13.630055
H3F3B	13.358094
PHGR1	13.328049
MT1X	13.256799
SAA2	13.20757
S100A10	13.156788
SPP1	13.132215
TXN	13.111732
IFITM3	13.051432
RNASE1	12.948438
CALD1	12.76783
RPLP0	12.726312
RHCG	12.577401
ACTG1	12.560298
CLU	12.4426565
FAU	12.3666115
LGALS1	12.355887
ADIRF	12.177307
KRT14	11.953719
IAPP	11.93661
SOD2	11.902035
RPL36	11.848811
DSTN	11.75664
UBC	11.440009
FABP4	11.380556
JUN	11.321144
RPL9	11.282457
KRT18	11.26211
IGFBP6	11.230904
CCL4	11.111057
RPS26	10.932187
H3F3A	10.930943
GPX3	10.646608
MYL4	10.552974
DEFB1	10.466265
S100P	10.393637
RPS25	10.3042555
FN1	10.282253
CST3	10.179031
GNLY	10.088542
APOE	10.037948
CELA3B	9.946505
ZFP36L2	9.851498
SBSN	9.845009
HLA-DRA	9.814117
S100A2	9.548334
KRT8	9.531512
MYH11	9.425225
CD9	9.41139
RPS5	9.369842
KRTDAP	9.361289
CXCR4	9.262363
APOC3	9.217558
EIF1	9.100625
ALDOB	9.089127
HLA-B	9.035771
HSPB1	9.005592
TNNT2	8.970893
LGALS4	8.952597
RPS9	8.638894
APOA1	8.576387
C3	8.571437
DUSP1	8.473586
RPS16	8.459675
CELA2A	8.399858
FGA	8.277785
NAPSA	8.263029
JUND	8.150621
CEBPD	8.12795
RPL6	8.076973
ZFP36	8.048123
PIP	7.9184036
FDCSP	7.8465633
TTN	7.709493
RPL10A	7.7020264
RPL15	7.5588055
ITM2B	7.40611
RPL23A	7.2611
HLA-A	7.2251825
CLDN4	7.18486
FGG	7.083271
NAMPT	7.0345726
ANXA4	7.0090313
GNAS	6.921674
RACK1	6.8835464
RPL24	6.870164
MUC5B	6.840922
G0S2	6.8165717
RPS11	6.789752
GADD45B	6.7361107
IL7R	6.733564
NACA	6.7044754
S100A14	6.64329
TNNI1	6.392998
HSP90B1	6.381224
KRT7	6.3035636
RPSA	6.266118
CA6	6.2593327
TLN1	6.148317
PFN1	6.067434
PRH1	5.995377
TSC22D3	5.9186883
ANXA2	5.8524213
RPL27A	5.795314
TNNC1	5.7678833
ELF3	5.737785
PNLIPRP1	5.6899
HLA-E	5.65775
CEBPB	5.654611
IFI27	5.5962377
CD63	5.5856605
EEF1B2	5.4951873
THBS4	5.478534
RGS5	5.4273663
CPA3	5.349603
TUBB1	5.284251
PRB2	5.2394795
ADH1B	5.21365
RPS10	5.1780643
IER3	5.1395645
MMP1	5.0543404
RARRES1	5.0217304
KRT6C	5.002541
SERPING1	4.96759
RPL23	4.9360747
TACSTD2	4.904613
PNLIPRP2	4.8801503
FBLN1	4.8511677
EGR1	4.8467727
CD69	4.8147902
CAPS	4.8000183
IL1R2	4.785702
TAGLN2	4.773669
C1QB	4.7619047
RPL38	4.742176
RPL35	4.7081656
KLF6	4.5823984
RPS20	4.5710382
HSP90AB1	4.540955
MT-ND4L	4.5209637
CELA2B	4.488134
SPRR2A	4.4582443
LGALS3	4.4473634
SERPINE2	4.366719
FCER1G	4.3506594
AKR1C1	4.3412743
FOSB	4.3253455
APOB	4.3116508
HLA-C	4.3080783
CXCL3	4.271697
GOLM1	4.1915293
CYBA	4.1610465
AMBP	4.130025
TPM4	4.1088014
MYOC	4.0256166
TYROBP	4.018952
CYB5A	3.9761705
C1QA	3.9667268
COL6A2	3.9610505
SERPINB3	3.9418297
CALM1	3.9320252
FLNA	3.814018
CTSS	3.7836504
DDIT4	3.7553916
REG1B	3.7494268
CCL17	3.733538
CLCA1	3.7062461
CAVIN2	3.7043078
LMNA	3.7009006
NKG7	3.6556263
SOX4	3.6531188
LY6D	3.6220253
SLC25A37	3.565031
MYL12A	3.536857
MNDA	3.528234
HIST1H4C	3.5166085
KRT5	3.4823196
SSR4	3.4681122
OST4	3.46559
KLF2	3.4360194
CSF3R	3.361827
ID3	3.3220048
PTPRC	3.3168378
GNG11	3.2984638
MZB1	3.267732
BPIFA1	3.202061
PSCA	3.2011576
FABP1	3.1643813
PCSK1N	3.150407
TNFAIP3	3.0948107
CA1	3.019528
PNRC1	3.009026
ZFP36L1	3.0089471
RGS18	2.9879138
CLDN3	2.9726298
UBB	2.9721065
PYY	2.9636803
C1R	2.9599974
NEFH	2.9253297
CFL1	2.896202
PDK4	2.8859766
SERF2	2.8753963
SCGB2A1	2.8521712
ATP5MC3	2.8422968
ATP5F1E	2.8204954
ATF3	2.7825632
COL6A3	2.7577994
UBA52	2.7566519
CXCL2	2.7401397
HOPX	2.7396698
SCG5	2.7240465
CCDC80	2.7208698
SARAF	2.7203414
KRT17	2.713003
TUBB4B	2.705887
YWHAH	2.69222
SPRR1B	2.6893194
MT1E	2.6861436
RPL27	2.6854944
ARHGDIB	2.6810865
NDUFA4	2.6756313
NPC2	2.669603
MGST1	2.6664696
DYNLL1	2.658494
CCL2	2.6444387
CAV1	2.6364825
PRSS3	2.6016736
BTG2	2.600004
SLC4A4	2.5957284
COX7C	2.5956602
TM4SF1	2.5840807
MIF	2.55151
MYH6	2.5462286
PRDX5	2.5438583
HSPA1B	2.5355422
MFAP5	2.5326564
