	tsp_mRNA
IL6R	IL6R
PEX12	PEX12
AUTS2	AUTS2
IL11	IL11
CD93	CD93
DEFB124	DEFB124
PRKCSH	PRKCSH
RFXANK	RFXANK
CORO6	CORO6
USP17L25	USP17L25
SLC44A5	SLC44A5
FBXL5	FBXL5
UBC	UBC
SPCS2	SPCS2
CDY1B	CDY1B
PIK3R4	PIK3R4
GSE1	GSE1
CDK20	CDK20
ELOA3D	ELOA3D
SPOCK3	SPOCK3
SDHC	SDHC
WNK4	WNK4
FAM174A	FAM174A
OR6B1	OR6B1
EFCAB8	EFCAB8
SUPT16H	SUPT16H
SHBG	SHBG
PTGER3	PTGER3
HTT	HTT
SIGLEC11	SIGLEC11
PLEKHM2	PLEKHM2
HSFX4	HSFX4
ZNF160	ZNF160
GMNN	GMNN
MLKL	MLKL
KRTAP19-7	KRTAP19-7
CCNF	CCNF
C16orf95	C16orf95
GORASP2	GORASP2
GGA3	GGA3
COX14	COX14
GNS	GNS
TEX33	TEX33
ASS1	ASS1
CASC4	CASC4
RTN4RL2	RTN4RL2
COQ2	COQ2
PNPT1	PNPT1
SLC25A27	SLC25A27
TMEM51	TMEM51
GNAT1	GNAT1
EHMT2	EHMT2
ELOA	ELOA
DCHS1	DCHS1
SPTSSA	SPTSSA
SLC35E4	SLC35E4
FOXO1	FOXO1
SLC29A4	SLC29A4
TIA1	TIA1
DPAGT1	DPAGT1
GAGE12F	GAGE12F
PPFIA2	PPFIA2
GNAQ	GNAQ
INPP5A	INPP5A
TMEM233	TMEM233
MMP9	MMP9
CDH24	CDH24
ZNF813	ZNF813
DEFB121	DEFB121
STAM	STAM
SPARCL1	SPARCL1
ZNF304	ZNF304
SLC30A3	SLC30A3
KDSR	KDSR
PYY	PYY
TPST1	TPST1
CPOX	CPOX
LSM5	LSM5
TUBGCP5	TUBGCP5
FLNA	FLNA
BIRC3	BIRC3
CCDC134	CCDC134
MYO15B	MYO15B
ASB11	ASB11
HOXB8	HOXB8
CYB561A3	CYB561A3
CUEDC2	CUEDC2
PDP2	PDP2
UBE2N	UBE2N
CDCA7L	CDCA7L
FBXW12	FBXW12
LRRC43	LRRC43
ODC1	ODC1
RERG	RERG
UPK1B	UPK1B
MCRS1	MCRS1
ARFGAP1	ARFGAP1
SLC27A2	SLC27A2
MAGEA6	MAGEA6
NACC1	NACC1
PAX1	PAX1
ACSM2A	ACSM2A
IQCE	IQCE
NSMAF	NSMAF
ARHGEF1	ARHGEF1
FIGNL1	FIGNL1
ADAM29	ADAM29
HIST1H2AE	HIST1H2AE
PDE1B	PDE1B
ECI1	ECI1
FST	FST
TMEM14C	TMEM14C
AC107959.5	AC107959.5
SLC7A9	SLC7A9
CHRNG	CHRNG
POP7	POP7
FLVCR2	FLVCR2
FLNB	FLNB
KL	KL
ATP2A2	ATP2A2
CENPH	CENPH
ZNF555	ZNF555
ZNF322	ZNF322
ANAPC4	ANAPC4
H1FNT	H1FNT
ATP2C2	ATP2C2
NOA1	NOA1
RFTN2	RFTN2
EIF1AY	EIF1AY
FAM120C	FAM120C
GPER1	GPER1
EFNA5	EFNA5
PLCE1	PLCE1
TBX4	TBX4
DAGLA	DAGLA
GLOD4	GLOD4
ADCY9	ADCY9
CCDC136	CCDC136
CHRNA5	CHRNA5
C4orf50	C4orf50
SCN3A	SCN3A
TMEM178A	TMEM178A
SNRNP70	SNRNP70
GPR108	GPR108
PLTP	PLTP
SNX12	SNX12
MFAP5	MFAP5
IBTK	IBTK
ZNF132	ZNF132
CFHR4	CFHR4
NME3	NME3
PTP4A3	PTP4A3
AREG	AREG
MYO9B	MYO9B
NECAB1	NECAB1
ANKRD35	ANKRD35
RELB	RELB
EXOC7	EXOC7
GOLGA8J	GOLGA8J
ACADSB	ACADSB
MAP3K21	MAP3K21
ACTL6B	ACTL6B
IL21R	IL21R
MIPOL1	MIPOL1
MEX3A	MEX3A
ADSL	ADSL
DHRS9	DHRS9
TTLL7	TTLL7
CNP	CNP
DIO2	DIO2
SEC14L1	SEC14L1
SPRR2A	SPRR2A
ZFAND1	ZFAND1
MRPS6	MRPS6
NRL	NRL
SLAMF1	SLAMF1
DHCR24	DHCR24
DDX53	DDX53
MT1HL1	MT1HL1
PNP	PNP
CETN1	CETN1
ITPKA	ITPKA
ZXDA	ZXDA
PFDN6	PFDN6
ALKAL2	ALKAL2
DRAM1	DRAM1
PRRG1	PRRG1
TMEM203	TMEM203
MAGEF1	MAGEF1
GPATCH4	GPATCH4
BHLHB9	BHLHB9
OGG1	OGG1
ZHX3	ZHX3
CXCR4	CXCR4
GPR101	GPR101
DEFB130B	DEFB130B
ITK	ITK
SAR1B	SAR1B
GOLGA6L2	GOLGA6L2
SPTBN2	SPTBN2
PGAM4	PGAM4
NFIX	NFIX
CHD2	CHD2
CACNA1E	CACNA1E
GDF7	GDF7
PJVK	PJVK
POTEG	POTEG
ZNF154	ZNF154
PCDHGA4	PCDHGA4
ST20	ST20
IRGM	IRGM
SLC5A9	SLC5A9
EHD3	EHD3
SCGB3A1	SCGB3A1
F2RL3	F2RL3
GOLGA7	GOLGA7
UCKL1	UCKL1
IQCD	IQCD
RETNLB	RETNLB
RSPH6A	RSPH6A
SKAP2	SKAP2
KIAA0319	KIAA0319
COG7	COG7
KRT23	KRT23
NDNF	NDNF
RALA	RALA
RPS27	RPS27
SPECC1L	SPECC1L
MELK	MELK
ZNF48	ZNF48
EPS15	EPS15
ABCG8	ABCG8
MAPRE3	MAPRE3
APEX1	APEX1
PCDHB10	PCDHB10
TBC1D22A	TBC1D22A
HIVEP3	HIVEP3
OLAH	OLAH
LURAP1L	LURAP1L
AVPR2	AVPR2
C6orf222	C6orf222
NEO1	NEO1
GGN	GGN
TOPAZ1	TOPAZ1
OR10T2	OR10T2
SEC31A	SEC31A
RAB9A	RAB9A
C15orf41	C15orf41
PKP1	PKP1
KLHL42	KLHL42
FAM20C	FAM20C
HRH1	HRH1
BHLHE41	BHLHE41
SEMA3B	SEMA3B
KRTAP12-3	KRTAP12-3
CD200R1	CD200R1
PKD2L2	PKD2L2
UNC13D	UNC13D
OR52A1	OR52A1
SPRTN	SPRTN
CENPQ	CENPQ
C6orf201	C6orf201
KLF5	KLF5
PPIC	PPIC
CD9	CD9
ZDBF2	ZDBF2
CTDSP2	CTDSP2
HSD17B2	HSD17B2
PELO	PELO
CCDC69	CCDC69
FBXO34	FBXO34
PRLR	PRLR
AC119676.1	AC119676.1
PITX2	PITX2
TGFB1I1	TGFB1I1
POLR2A	POLR2A
ELOVL2	ELOVL2
GJB1	GJB1
CCDC51	CCDC51
SLC18A3	SLC18A3
PIP5KL1	PIP5KL1
PTCRA	PTCRA
ZNHIT6	ZNHIT6
MGAT4B	MGAT4B
MZF1	MZF1
CLCC1	CLCC1
HIC2	HIC2
AL079342.1	AL079342.1
NRAS	NRAS
MAMLD1	MAMLD1
TFPI	TFPI
RASL11A	RASL11A
RFX3	RFX3
SHROOM2	SHROOM2
API5	API5
C14orf39	C14orf39
SERINC1	SERINC1
DAGLB	DAGLB
CCER1	CCER1
SMIM31	SMIM31
OR5M1	OR5M1
SPRN	SPRN
HORMAD1	HORMAD1
FAM222B	FAM222B
OSTC	OSTC
TMEM107	TMEM107
PPP1R37	PPP1R37
ANAPC10	ANAPC10
SH3BP5	SH3BP5
GRXCR1	GRXCR1
SAP30L	SAP30L
PHETA1	PHETA1
AC093323.1	AC093323.1
DNAJC11	DNAJC11
ZIC2	ZIC2
TSPAN19	TSPAN19
ZFHX4	ZFHX4
SLC22A6	SLC22A6
SLITRK4	SLITRK4
CR1	CR1
PRIM1	PRIM1
MSL1	MSL1
SAA2	SAA2
FABP7	FABP7
RSAD2	RSAD2
ST8SIA5	ST8SIA5
OPRD1	OPRD1
GFAP	GFAP
CDY2A	CDY2A
METTL8	METTL8
RBM17	RBM17
CCT7	CCT7
